track_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Artist
X SI VOLVEMOS,2,2023,2,2,2127,33,266624541.0,45,80,53.0,8,4.0,178,C#,Minor,79,58,78,34,0,11,25,Romeo Santos
X ï¿½ï¿½LTIMA,2,2022,3,25,2697,1,349746291.0,55,3,32.0,0,0.0,90,G,Major,81,59,83,9,0,11,5,Daddy Yankee
X ï¿½ï¿½LTIMA,2,2022,3,25,2697,1,349746291.0,55,3,32.0,0,0.0,90,G,Major,81,59,83,9,0,11,5,Bad Bunny
XQ Te Pones Asï¿,2,2022,9,13,308,0,47093942.0,6,1,6.0,0,0.0,92,A#,Major,81,48,70,13,0,15,7,Yandel
XQ Te Pones Asï¿,2,2022,9,13,308,0,47093942.0,6,1,6.0,0,0.0,92,A#,Major,81,48,70,13,0,15,7,Feid
Ya No Somos Ni Seremos,1,2022,2,18,866,16,319757142.0,27,84,32.0,7,11.0,140,G,Major,59,73,45,44,0,34,3,Christian Nodal
Yandel 150,2,2022,12,20,3618,38,585695368.0,47,74,80.0,14,194.0,168,F#,Minor,78,58,73,5,0,10,7,Yandel
Yandel 150,2,2022,12,20,3618,38,585695368.0,47,74,80.0,14,194.0,168,F#,Minor,78,58,73,5,0,10,7,Feid
Yellow,1,1999,1,1,31358,43,1755214421.0,196,2,36.0,5,0.0,173,B,Major,43,28,66,0,0,23,3,Chris Molitor
Yet To Come,1,2022,6,10,829,0,302006641.0,32,110,26.0,0,0.0,172,C#,Major,56,68,89,4,0,33,19,BTS
Yo No Soy Celoso,1,2022,5,6,1179,0,313113297.0,7,21,11.0,0,0.0,142,C#,Major,87,93,59,28,0,17,5,Bad Bunny
Yo Voy (feat. Daddy Yankee),1,2004,5,4,2954,2,527033089.0,18,82,0.0,0,5.0,95,A#,Major,81,56,70,4,0,5,24,Zion & Lennox
Yonaguni,1,2021,6,4,9644,28,1260594497.0,120,86,164.0,4,0.0,180,C#,Major,64,44,65,28,0,14,12,Bad Bunny
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,1,2021,4,9,2619,12,350381515.0,47,90,1.0,0,7.0,130,F#,Major,63,49,73,5,0,9,3,Taylor Swift
You Make It Feel Like Christmas (feat. Blake Shelton),2,2005,9,20,2577,0,180577478.0,108,56,30.0,0,0.0,93,F,Major,63,93,88,1,0,12,4,Gwen Stefani
You Make It Feel Like Christmas (feat. Blake Shelton),2,2005,9,20,2577,0,180577478.0,108,56,30.0,0,0.0,93,F,Major,63,93,88,1,0,12,4,Blake Shelton
You Proof,1,2022,5,13,2128,9,367814306.0,37,88,9.0,0,14.0,120,A,Major,73,64,85,25,0,61,3,Morgan Wallen
You Right,2,2021,6,24,5073,0,672656250.0,83,9,100.0,0,4.0,129,G#,Major,83,44,62,2,0,8,6,Doja Cat
You Right,2,2021,6,24,5073,0,672656250.0,83,9,100.0,0,4.0,129,G#,Major,83,44,62,2,0,8,6,The Weeknd
"You're On Your Own, Kid",1,2022,10,21,2537,2,348647203.0,8,18,20.0,0,1.0,120,D,Major,69,40,39,41,0,13,6,Taylor Swift
ZOOM,1,2022,4,13,608,0,136996305.0,5,29,14.0,0,0.0,100,F#,Major,87,46,60,1,0,13,16,Jessi
Zona De Perigo,1,2022,12,8,531,4,134294498.0,20,1,71.0,2,0.0,135,F,Major,81,97,77,75,0,35,3,Leo Santana
august,1,2020,7,24,7324,22,607123776.0,25,81,61.0,1,44.0,90,F,Major,51,42,61,53,0,9,3,Taylor Swift
cardigan,1,2020,7,24,7923,29,812019557.0,106,112,142.0,4,215.0,130,C#,Minor,61,53,58,55,0,27,4,Taylor Swift
ceilings,1,2022,4,8,3242,9,293186992.0,67,55,48.0,0,6.0,148,A,Major,51,27,33,48,0,22,3,Lizzy McAlpine
cï¿½ï¿½mo dormi,1,2022,8,4,1452,35,331511413.0,16,15,20.0,0,0.0,126,C#,Major,63,56,43,24,0,12,23,Rels B
deja vu,1,2021,4,1,7545,4,1256880657.0,117,39,141.0,0,46.0,181,A,Major,44,22,60,61,0,42,9,Olivia Rodrigo
die first,1,2022,6,24,767,0,131746175.0,25,0,22.0,0,0.0,183,G#,Minor,44,44,67,7,0,12,13,Nessa Barrett
